product_id,product_name,product_rate
9,PEDROL CF NEW,850
16,DYMIN TAB NEW,255
17,DYMIN 60ML SYP,34
18,BROXOL SUSP,68
19,BROXOL DM,85
27,NAXID 60ML SYS,68
8108,CLOZIM-6 TAB,68
30,HEX TAB 50MG,170
39,KAMIC FORT TAB,306
46,ROZID TAB 250MG,85
47,ROZID TAB 500MG,136
50,MANACID FORT NEW,170
8463,CALSID 120ML SYS,51
8674,BROXOL 120ML,85
8524,DYMIN SYP NEW,68
8164,BROXOL DM NEW,119
8468,FERVIT SYP 120 ML,46
9040,DOMTEK SUSP,85
8513,VASEDEX-L SYS 120ML,68
8975,LORID TAB,34
8442,BROPHYL-D 120M,102
8884,NAXID SUSP 60ML NEW,102
8406,FERVIT SYP NEW,92
8445,RIDOX CAP 100MG,255
8856,VERIL 500MG TAB,51
8534,BROXOL 120ML NEW,102
8888,VERIL 500MG TAB,68
8472,PEDROL DROPS NEW,34
8981,VERIL 500 TAB NEW,85
8643,SANID TAB,204
8648,DOMTEK SUS,68
8636,ROZID TAB 250MG,102
8632,LORID TAB 10MG,68
8621,RID ALL TAB,340
8881,PERL-DS CAPS,102
8868,RID ALL TAB,374
8974,PERL DS NEW,119
8713,STENZAR SYS 120ML,51
8901,HEX TAB NEW,187
9004,DOMTEK TAB NEW,85
8796,STENZAR SYS 120ML NEW,85
8837,VASEDEX-L SYP 120ML,85
8804,FERVIT LIQ,64
