customer_id,product_id,sale_month,sale_year,unit_return,product_rate,total_return_amount
22,25,April,2025,1,118.15,118.15
30,3,April,2025,6,324.7,1948.2
30,8406,April,2025,1,92,92
30,8407,April,2025,10,127.5,1275
30,8474,April,2025,1,125.65,125.65
30,8594,April,2025,2,228.02,456.04
30,8620,April,2025,4,144.5,578
30,8815,April,2025,4,101.88,407.52
30,8974,April,2025,2,119,238
30,8975,April,2025,1,34,34
30,8981,April,2025,2,85,170
30,9006,April,2025,1,229.5,229.5
50,3,April,2025,2,324.7,649.4
50,8164,April,2025,4,119,476
50,8467,April,2025,1,333.2,333.2
50,8512,April,2025,2,104.55,209.1
50,8603,April,2025,2,51.85,103.7
50,8664,April,2025,3,63.75,191.25
50,8901,April,2025,1,187,187
50,9065,April,2025,2,99.45,198.9
91,25,April,2025,3,118.15,354.45
100,25,April,2025,30,118.15,3544.5
100,44,April,2025,5,90.94,454.7
100,8164,April,2025,10,119,1190
100,8457,April,2025,20,61.2,1224
100,8467,April,2025,2,333.2,666.4
100,8485,April,2025,5,93.5,467.5
100,8534,April,2025,10,102,1020
100,8664,April,2025,15,63.75,956.25
100,8673,April,2025,5,41.34,206.7
100,8674,April,2025,10,85,850
100,8815,April,2025,5,101.88,509.4
100,8974,April,2025,1,119,119
100,8980,April,2025,1,93.5,93.5
100,9001,April,2025,5,55.25,276.25
100,9006,April,2025,2,229.5,459
100,9065,April,2025,5,99.45,497.25
721,25,April,2025,5,118.15,590.75
721,44,April,2025,1,90.94,90.94
721,8164,April,2025,2,119,238
721,8512,April,2025,1,104.55,104.55
721,8527,April,2025,1,29.75,29.75
721,8633,April,2025,3,79.81,239.43
721,8673,April,2025,1,41.34,41.34
721,8974,April,2025,1,119,119
721,9065,April,2025,1,99.45,99.45
722,3,April,2025,1,324.7,324.7
722,25,April,2025,6,118.15,708.9
722,44,April,2025,10,90.94,909.4
722,8457,April,2025,10,61.2,612
722,8467,April,2025,1,333.2,333.2
722,8474,April,2025,5,125.65,628.25
722,8485,April,2025,2,93.5,187
722,8512,April,2025,3,104.55,313.65
722,8514,April,2025,5,74.58,372.9
722,8527,April,2025,6,29.75,178.5
722,8594,April,2025,4,228.02,912.08
722,8605,April,2025,1,74.35,74.35
722,8620,April,2025,2,144.5,289
722,8633,April,2025,30,79.81,2394.3
722,8664,April,2025,2,63.75,127.5
722,8673,April,2025,2,41.34,82.68
722,8901,April,2025,2,187,374
722,8974,April,2025,6,119,714
722,8975,April,2025,2,34,68
722,8980,April,2025,2,93.5,187
722,8986,April,2025,2,93.5,187
722,9006,April,2025,2,229.5,459
722,9012,April,2025,2,465.38,930.76
722,9047,April,2025,1,212.5,212.5
722,9065,April,2025,60,99.45,5967
725,3,April,2025,3,324.7,974.1
725,25,April,2025,15,118.15,1772.25
725,44,April,2025,2,90.94,181.88
725,49,April,2025,12,72.25,867
725,8406,April,2025,2,92,184
725,8457,April,2025,4,61.2,244.8
725,8467,April,2025,2,333.2,666.4
725,8474,April,2025,1,125.65,125.65
725,8485,April,2025,4,93.5,374
725,8514,April,2025,2,74.58,149.16
725,8527,April,2025,5,29.75,148.75
725,8603,April,2025,5,51.85,259.25
725,8605,April,2025,3,74.35,223.05
725,8633,April,2025,7,79.81,558.67
725,8664,April,2025,3,63.75,191.25
725,8673,April,2025,5,41.34,206.7
725,8800,April,2025,5,59.5,297.5
725,8975,April,2025,4,34,136
725,9065,April,2025,7,99.45,696.15
1001,3,April,2025,1,324.7,324.7
1001,23,April,2025,3,79.67,239.01
1001,25,April,2025,15,118.15,1772.25
1001,44,April,2025,5,90.94,454.7
1001,8164,April,2025,2,119,238
1001,8406,April,2025,1,92,92
1001,8413,April,2025,1,95.17,95.17
1001,8457,April,2025,5,61.2,306
1001,8467,April,2025,2,333.2,666.4
1001,8512,April,2025,2,104.55,209.1
1001,8603,April,2025,1,51.85,51.85
1001,8605,April,2025,1,74.35,74.35
1001,8673,April,2025,2,41.34,82.68
1001,8974,April,2025,1,119,119
1001,8975,April,2025,1,34,34
1001,8980,April,2025,1,93.5,93.5
1002,8457,April,2025,5,61.2,306
1002,8485,April,2025,1,93.5,93.5
1002,8633,April,2025,7,79.81,558.67
1004,8534,April,2025,1,102,102
1004,8974,April,2025,1,119,119
1005,25,April,2025,1,118.15,118.15
1005,8534,April,2025,1,102,102
1005,8664,April,2025,1,63.75,63.75
1005,8674,April,2025,1,85,85
1005,8974,April,2025,1,119,119
1008,25,April,2025,1,118.15,118.15
1008,44,April,2025,1,90.94,90.94
1008,8164,April,2025,1,119,119
1008,8974,April,2025,1,119,119
1010,8974,April,2025,2,119,238
1013,25,April,2025,1,118.15,118.15
1013,8164,April,2025,1,119,119
1013,8406,April,2025,1,92,92
1013,8457,April,2025,1,61.2,61.2
1015,8512,April,2025,1,104.55,104.55
1015,8534,April,2025,1,102,102
1019,8406,April,2025,1,92,92
1021,8164,April,2025,1,119,119
1021,8664,April,2025,1,63.75,63.75
1022,8457,April,2025,1,61.2,61.2
1022,8512,April,2025,1,104.55,104.55
1023,25,April,2025,3,118.15,354.45
1023,8164,April,2025,1,119,119
1023,8457,April,2025,1,61.2,61.2
1023,8534,April,2025,1,102,102
1023,8674,April,2025,1,85,85
1024,8457,April,2025,1,61.2,61.2
1024,8664,April,2025,2,63.75,127.5
1024,8974,April,2025,1,119,119
1026,8457,April,2025,1,61.2,61.2
1027,25,April,2025,3,118.15,354.45
1028,25,April,2025,2,118.15,236.3
1028,8164,April,2025,1,119,119
1028,9065,April,2025,1,99.45,99.45
1029,44,April,2025,1,90.94,90.94
1029,8164,April,2025,1,119,119
1029,8457,April,2025,1,61.2,61.2
1029,9065,April,2025,1,99.45,99.45
1030,25,April,2025,3,118.15,354.45
1030,8974,April,2025,1,119,119
1031,25,April,2025,21,118.15,2481.15
1031,8164,April,2025,1,119,119
1031,8407,April,2025,1,127.5,127.5
1031,8457,April,2025,2,61.2,122.4
