customer_id,product_id,sale_month,sale_year,unit_sale,product_rate,total_amount
22,3,April,2025,1,324.7,324.7
22,25,April,2025,10,118.15,1181.5
30,3,April,2025,60,324.7,19482
30,8406,April,2025,10,92,920
30,8407,April,2025,50,127.5,6375
30,8474,April,2025,10,125.65,1256.5
30,8594,April,2025,10,228.02,2280.2
30,8602,April,2025,1,362.34,362.34
30,8620,April,2025,20,144.5,2890
30,8815,April,2025,20,101.88,2037.6
30,8974,April,2025,20,119,2380
30,8975,April,2025,10,34,340
30,8981,April,2025,20,85,1700
30,9006,April,2025,10,229.5,2295
50,3,April,2025,20,324.7,6494
50,8164,April,2025,40,119,4760
50,8467,April,2025,10,333.2,3332
50,8512,April,2025,20,104.55,2091
50,8603,April,2025,30,51.85,1555.5
50,8664,April,2025,30,63.75,1912.5
50,8901,April,2025,10,187,1870
50,9065,April,2025,20,99.45,1989
91,3,April,2025,5,324.7,1623.5
91,25,April,2025,10,118.15,1181.5
91,8467,April,2025,3,333.2,999.6
91,8485,April,2025,2,93.5,187
91,8664,April,2025,4,63.75,255
91,8901,April,2025,1,187,187
100,25,April,2025,150,118.15,17722.5
100,44,April,2025,50,90.94,4547
100,8164,April,2025,100,119,11900
100,8457,April,2025,200,61.2,12240
100,8467,April,2025,20,333.2,6664
100,8485,April,2025,50,93.5,4675
100,8534,April,2025,50,102,5100
100,8664,April,2025,150,63.75,9562.5
100,8673,April,2025,50,41.34,2067
100,8674,April,2025,50,85,4250
100,8815,April,2025,50,101.88,5094
100,8891,April,2025,20,72.25,1445
100,8974,April,2025,10,119,1190
100,8980,April,2025,10,93.5,935
100,9001,April,2025,50,55.25,2762.5
100,9006,April,2025,20,229.5,4590
100,9065,April,2025,50,99.45,4972.5
721,3,April,2025,3,324.7,974.1
721,25,April,2025,20,118.15,2363
721,44,April,2025,10,90.94,909.4
721,8164,April,2025,10,119,1190
721,8467,April,2025,1,333.2,333.2
721,8512,April,2025,10,104.55,1045.5
721,8527,April,2025,10,29.75,297.5
721,8633,April,2025,20,79.81,1596.2
721,8673,April,2025,10,41.34,413.4
721,8868,April,2025,1,374,374
721,8974,April,2025,10,119,1190
721,9012,April,2025,1,465.38,465.38
721,9065,April,2025,10,99.45,994.5
721,9066,April,2025,1,290.03,290.03
722,3,April,2025,10,324.7,3247
722,16,April,2025,10,255,2550
722,25,April,2025,30,118.15,3544.5
722,44,April,2025,100,90.94,9094
722,8457,April,2025,70,61.2,4284
722,8467,April,2025,10,333.2,3332
722,8474,April,2025,50,125.65,6282.5
722,8485,April,2025,20,93.5,1870
722,8512,April,2025,30,104.55,3136.5
722,8514,April,2025,50,74.58,3729
722,8527,April,2025,60,29.75,1785
722,8594,April,2025,20,228.02,4560.4
722,8605,April,2025,20,74.35,1487
722,8620,April,2025,10,144.5,1445
722,8633,April,2025,200,79.81,15962
722,8664,April,2025,20,63.75,1275
722,8673,April,2025,20,41.34,826.8
722,8901,April,2025,20,187,3740
722,8974,April,2025,60,119,7140
722,8975,April,2025,20,34,680
722,8980,April,2025,20,93.5,1870
722,8986,April,2025,10,93.5,935
722,9006,April,2025,20,229.5,4590
722,9012,April,2025,10,465.38,4653.8
722,9047,April,2025,10,212.5,2125
722,9065,April,2025,400,99.45,39780
725,3,April,2025,30,324.7,9741
725,16,April,2025,5,255,1275
725,25,April,2025,50,118.15,5907.5
725,44,April,2025,20,90.94,1818.8
725,49,April,2025,60,72.25,4335
725,8406,April,2025,20,92,1840
725,8457,April,2025,30,61.2,1836
725,8467,April,2025,20,333.2,6664
725,8474,April,2025,10,125.65,1256.5
725,8485,April,2025,40,93.5,3740
725,8514,April,2025,20,74.58,1491.6
725,8527,April,2025,50,29.75,1487.5
725,8603,April,2025,75,51.85,3888.75
725,8605,April,2025,60,74.35,4461
725,8633,April,2025,50,79.81,3990.5
725,8664,April,2025,30,63.75,1912.5
725,8673,April,2025,50,41.34,2067
725,8800,April,2025,55,59.5,3272.5
725,8975,April,2025,40,34,1360
725,9065,April,2025,50,99.45,4972.5
1001,3,April,2025,10,324.7,3247
1001,16,April,2025,6,255,1530
1001,23,April,2025,20,79.67,1593.4
1001,25,April,2025,50,118.15,5907.5
1001,44,April,2025,50,90.94,4547
1001,8164,April,2025,20,119,2380
1001,8406,April,2025,10,92,920
