customer_id,product_id,unit_bonus_return,product_rate,total_amount,date
30,3,1,324.7,324.7,09-04-2025,
30,8407,2,127.5,255,09-04-2025,
30,8620,2,144.5,289,09-04-2025,
100,8674,10,85,850,10-04-2025,
721,8633,3,79.81,239.43,23-04-2025,
721,8673,1,41.34,41.34,23-04-2025,
725,3,1,324.7,324.7,16-04-2025,
725,49,10,72.25,722.5,09-04-2025,
1005,8674,1,85,85,10-04-2025,
1023,8674,1,85,85,10-04-2025,
1049,8674,10,85,850,10-04-2025,
1056,8674,2,85,170,10-04-2025,
1083,8406,1,92,92,24-04-2025,
1105,8674,1,85,85,10-04-2025,
1128,8674,1,85,85,10-04-2025,
1330,8901,2,187,374,28-04-2025,
1453,8674,1,85,85,10-04-2025,
1495,8457,15,61.2,918,24-04-2025,
1495,8510,2,599.15,1198.3,17-04-2025,
1495,8514,2,74.58,149.16,24-04-2025,
1495,8620,2,144.5,289,24-04-2025,
1495,8974,1,119,119,24-04-2025,
1495,9012,2,465.38,930.76,24-04-2025,
5028,8474,2,125.65,251.3,16-04-2025,
5031,8407,5,127.5,637.5,09-04-2025,
5032,8633,3,79.81,239.43,23-04-2025,
5035,25,15,118.15,1772.25,23-04-2025,
5041,25,2,118.15,236.3,16-04-2025,
5042,8413,2,95.17,190.34,09-04-2025,
5052,8594,1,228.02,228.02,09-04-2025,
5071,8620,2,144.5,289,09-04-2025,
5119,25,1,118.15,118.15,23-04-2025,
5119,8594,2,228.02,456.04,09-04-2025,
5119,8664,1,63.75,63.75,09-04-2025,
5124,8457,3,61.2,183.6,16-04-2025,
5124,8603,2,51.85,103.7,16-04-2025,
5124,8664,2,63.75,127.5,16-04-2025,
8007,9065,1,99.45,99.45,10-04-2025,
8022,8412,1,127.5,127.5,24-04-2025,
8022,8457,2,61.2,122.4,24-04-2025,
8022,8534,2,102,204,24-04-2025,
8026,8512,2,104.55,209.1,17-04-2025,
8026,8603,2,51.85,103.7,17-04-2025,
8030,3,1,324.7,324.7,10-04-2025,
8030,8474,1,125.65,125.65,10-04-2025,
8030,8485,1,93.5,93.5,10-04-2025,
8030,8534,4,102,408,24-04-2025,
8030,8974,2,119,238,10-04-2025,
8030,8974,1,119,119,24-04-2025,
8030,8975,1,34,34,10-04-2025,
8030,8980,1,93.5,93.5,10-04-2025,
8030,8980,1,93.5,93.5,24-04-2025,
8030,9065,1,99.45,99.45,10-04-2025,
8034,8474,10,125.65,1256.5,16-04-2025,
8034,8815,1,101.88,101.88,24-04-2025,
8038,8457,1,61.2,61.2,10-04-2025,
8053,8474,1,125.65,125.65,10-04-2025,
8053,8815,8,101.88,815.04,17-04-2025,
8064,8981,1,85,85,24-04-2025,
8064,9012,1,465.38,465.38,24-04-2025,
8117,8868,4,374,1496,28-04-2025,
8150,8164,2,119,238,10-04-2025,
19109,8457,1,61.2,61.2,16-04-2025,
19109,8594,1,228.02,228.02,16-04-2025,
19143,8457,1,61.2,61.2,10-04-2025,
19143,8594,1,228.02,228.02,10-04-2025,
19504,8815,2,101.88,203.76,17-04-2025,
19528,8620,1,144.5,144.5,17-04-2025,
19607,8674,10,85,850,10-04-2025,
19622,8974,1,119,119,09-04-2025,
19672,8974,1,119,119,10-04-2025,
19697,8674,1,85,85,10-04-2025,
19745,8673,1,41.34,41.34,23-04-2025,
19745,8974,1,119,119,23-04-2025,
