customer_id,product_id,unit_return,product_rate,total_amount,date
30,3,10,324.7,3247,09-04-2025,
30,8407,10,127.5,1275,09-04-2025,
30,8620,10,144.5,1445,09-04-2025,
100,8664,1,63.75,63.75,12-04-2025,
100,8674,50,85,4250,10-04-2025,
721,3,1,324.7,324.7,23-04-2025,
721,8473,19,116.14,2206.66,09-04-2025,
721,8633,20,79.81,1596.2,23-04-2025,
721,8673,10,41.34,413.4,23-04-2025,
721,9066,1,290.03,290.03,23-04-2025,
722,16,5,255,1275,09-04-2025,
725,3,10,324.7,3247,16-04-2025,
725,49,50,72.25,3612.5,09-04-2025,
1005,8674,10,85,850,10-04-2025,
1008,8869,1,56.1,56.1,26-04-2025,
1021,8602,1,362.34,362.34,12-04-2025,
1023,8674,10,85,850,10-04-2025,
1028,9001,9,55.25,497.25,26-04-2025,
1049,8674,50,85,4250,10-04-2025,
1052,8594,4,228.02,912.08,12-04-2025,
1056,8674,20,85,1700,10-04-2025,
1074,8474,3,125.65,376.95,26-04-2025,
1079,25,1,118.15,118.15,12-04-2025,
1083,8406,10,92,920,24-04-2025,
1090,8457,38,61.2,2325.6,12-04-2025,
1105,8674,10,85,850,10-04-2025,
1128,8674,10,85,850,10-04-2025,
1258,8811,4,52.07,208.28,26-04-2025,
1330,8901,20,187,3740,28-04-2025,
1334,8474,1,125.65,125.65,19-04-2025,
1362,8163,6,65.21,391.26,19-04-2025,
1362,8449,1,79.77,79.77,19-04-2025,
1362,8594,6,228.02,1368.12,26-04-2025,
1362,8620,5,144.5,722.5,26-04-2025,
1362,8986,3,93.5,280.5,26-04-2025,
1362,9001,7,55.25,386.75,19-04-2025,
1362,9012,2,465.38,930.76,26-04-2025,
1398,23,4,79.67,318.68,23-04-2025,
1398,8406,2,92,184,23-04-2025,
1429,8869,5,56.1,280.5,12-04-2025,
1453,8674,10,85,850,10-04-2025,
1495,8457,100,61.2,6120,24-04-2025,
1495,8510,20,599.15,11983,17-04-2025,
1495,8514,20,74.58,1491.6,24-04-2025,
1495,8620,10,144.5,1445,24-04-2025,
1495,8974,10,119,1190,24-04-2025,
1495,9012,10,465.38,4653.8,24-04-2025,
1498,8603,10,51.85,518.5,23-04-2025,
2034,8674,3,85,255,10-04-2025,
2076,13,6,60.95,365.7,28-04-2025,
2076,18,1,68,68,28-04-2025,
2076,8449,9,79.77,717.93,28-04-2025,
2076,8595,4,55.25,221,28-04-2025,
2076,8634,1,105.4,105.4,28-04-2025,
